Timestamp,pH,Turbidity,Temperature,Latitude,Longitude,Altitude,Satellites,Battery,Sampling
1705334400,7.2,15.5,18.3,37.774900,-122.419400,20.0,10,95,0
1705334410,7.2,15.6,18.3,37.774950,-122.419350,18.5,10,94,0
1705334420,7.2,15.5,18.3,37.775000,-122.419300,15.0,10,93,0
1705334430,7.2,15.4,18.3,37.775050,-122.419250,10.0,11,92,0
1705334440,7.2,15.5,18.3,37.775100,-122.419200,5.0,11,91,0
1705334450,7.2,15.6,18.3,37.775150,-122.419150,1.0,11,90,0
1705334460,7.2,15.5,18.4,37.775150,-122.419150,0.5,11,90,1
1705334470,7.2,15.7,18.4,37.775150,-122.419150,0.5,11,89,1
1705334480,7.3,16.0,18.4,37.775150,-122.419150,0.5,11,89,1
1705334490,7.3,16.2,18.4,37.775150,-122.419150,0.5,12,88,1
1705334500,7.3,16.5,18.5,37.775150,-122.419150,0.5,12,88,1
1705334510,7.3,16.8,18.5,37.775150,-122.419150,0.5,12,87,1
1705334520,7.4,17.0,18.5,37.775150,-122.419150,0.5,12,87,1
1705334530,7.4,17.2,18.5,37.775150,-122.419150,0.5,12,86,1
1705334540,7.4,17.5,18.6,37.775150,-122.419150,0.5,12,86,1
1705334550,7.4,17.8,18.6,37.775150,-122.419150,0.5,11,85,1
1705334560,7.5,18.0,18.6,37.775150,-122.419150,0.5,11,85,1
1705334570,7.5,18.2,18.6,37.775150,-122.419150,0.5,11,84,1
1705334580,7.5,18.5,18.7,37.775150,-122.419150,0.5,11,84,1
1705334590,7.5,18.7,18.7,37.775150,-122.419150,0.5,11,83,1
1705334600,7.5,18.8,18.7,37.775150,-122.419150,0.5,11,83,1
1705334610,7.6,19.0,18.7,37.775150,-122.419150,0.5,11,82,1
1705334620,7.6,19.2,18.8,37.775150,-122.419150,0.5,11,82,1
1705334630,7.6,19.5,18.8,37.775150,-122.419150,0.5,11,81,1
1705334640,7.6,19.7,18.8,37.775150,-122.419150,0.5,11,81,1
1705334650,7.6,19.8,18.8,37.775150,-122.419150,0.5,11,80,1
1705334660,7.6,20.0,18.9,37.775150,-122.419150,0.5,11,80,1
1705334670,7.6,19.8,18.9,37.775150,-122.419150,0.5,11,79,1
1705334680,7.6,19.5,18.9,37.775150,-122.419150,0.5,11,79,1
1705334690,7.6,19.2,18.9,37.775150,-122.419150,0.5,11,78,1
1705334700,7.6,19.0,18.9,37.775150,-122.419150,0.5,11,78,1
1705334710,7.6,18.8,18.9,37.775150,-122.419150,0.5,11,77,1
1705334720,7.6,18.5,19.0,37.775150,-122.419150,0.5,11,77,1
1705334730,7.6,18.2,19.0,37.775150,-122.419150,0.5,11,76,1
1705334740,7.6,18.0,19.0,37.775150,-122.419150,0.5,11,76,1
1705334750,7.6,17.8,19.0,37.775150,-122.419150,0.5,11,75,1
1705334760,7.6,17.5,19.0,37.775150,-122.419150,0.5,11,75,0
1705334770,7.6,17.2,19.0,37.775150,-122.419150,2.0,11,74,0
1705334780,7.6,17.0,19.0,37.775150,-122.419150,5.0,11,74,0
1705334790,7.6,16.8,19.0,37.775120,-122.419170,10.0,11,73,0
1705334800,7.6,16.5,19.0,37.775080,-122.419200,15.0,11,73,0
1705334810,7.6,16.2,19.0,37.775030,-122.419240,20.0,11,72,0
1705334820,7.6,16.0,18.9,37.774980,-122.419280,20.0,11,72,0
1705334830,7.6,15.8,18.9,37.774930,-122.419320,20.0,11,71,0
1705334840,7.5,15.6,18.9,37.774890,-122.419360,18.0,11,71,0
1705334850,7.5,15.5,18.8,37.774900,-122.419400,12.0,11,70,0
1705334860,7.5,15.4,18.8,37.774900,-122.419400,5.0,11,70,0
1705334870,7.4,15.3,18.8,37.774900,-122.419400,1.0,11,69,0
1705334880,7.4,15.2,18.8,37.774900,-122.419400,0.1,11,69,0
1705334890,7.3,15.1,18.7,37.774900,-122.419400,0.0,10,68,0
